Class,Instance,Win_Count,Lose_Count,Draw_Count,ELO,Kde_Tier,diff_Tier
244,1,299,7,144,2028.72666,12,7
233,1,418,17,16,2321.916998,13,9
246,1,439,10,0,2448.990542,14,12
247,1,462,8,0,2450.610991,14,12
243,1,453,5,0,2526.957312,14,13
243,2,436,2,0,2515.886419,14,13
243,3,436,4,0,2534.460592,14,13
226,2,437,2,14,2464.27618,14,12
226,3,430,6,8,2468.763693,14,12
226,1,434,2,9,2559.328868,14,14
235,1,209,242,0,1500.864776,10,7
237,1,337,81,23,1968.018468,12,7
234,1,64,97,2,886.386461,4,4
239,1,428,29,0,2278.183586,13,9
236,1,244,211,0,1575.806808,10,7
238,1,407,45,1,2242.953461,13,9
240,1,417,21,7,2370.214278,13,10
229,3,420,25,1,2290.122141,13,9
218,1,37,79,0,2011.566781,12,7
218,8,325,121,0,1892.700927,12,7
218,7,341,100,0,1845.015445,11,7
218,1,339,115,0,1861.805288,11,7
218,6,246,195,0,1614.51173,10,7
212,1,125,315,0,1180.037193,7,6
212,3,157,296,0,1227.840111,8,7
204,4,122,322,1,1082.703495,6,5
201,1,13,305,0,1250.942881,8,7
225,1,2,575,0,293.4000372,0,0
225,2,11,534,5,444.6391104,1,2
225,3,2,510,1,331.8910293,0,1
225,4,39,650,0,633.3291017,2,4
225,5,40,597,12,627.3398724,2,4
225,6,27,626,1,512.8075103,1,3
202,1,9,429,1,487.0598954,1,3
202,2,14,437,2,507.5304573,1,3
202,3,15,430,2,490.953748,1,3
205,1,38,407,1,712.8474077,2,4
234,1,64,397,2,886.386461,4,4
203,1,32,412,1,605.0749212,2,4
202,4,19,431,2,573.7458939,2,4
201,1,36,406,1,735.2043636,3,4
202,5,16,433,1,569.4137962,2,4
201,2,33,417,0,677.8645234,2,4
203,2,38,400,1,752.0712313,3,4
202,6,9,429,1,504.3311646,1,3
203,3,26,430,0,642.1282375,2,4
203,6,24,419,0,695.2296218,2,4
202,7,19,425,1,585.6086558,2,4
208,1,24,414,0,644.5036943,2,4
202,8,18,431,0,561.3502066,2,4
203,5,41,383,12,741.3416442,3,4
201,3,47,404,0,816.8295386,3,4
209,1,68,369,0,888.3637931,4,4
230,2,63,372,0,913.9386226,5,4
230,3,39,408,1,805.8791867,3,4
230,4,67,375,0,886.3402542,4,4
230,1,38,388,0,795.6166974,3,4
208,2,45,392,2,789.5609195,3,4
215,1,64,375,0,869.9607541,4,4
206,1,42,395,0,772.1505897,3,4
225,7,175,421,0,1201.093179,7,6
225,8,192,421,7,1258.422798,8,7
225,9,158,421,0,1167.294397,7,6
202,9,27,415,1,675.5794417,2,4
203,8,50,382,2,801.5704798,3,4
201,4,72,364,1,926.012401,5,4
203,7,68,378,1,885.290112,4,4
205,3,53,400,1,820.9646338,3,4
230,6,71,371,1,894.2720702,4,4
205,2,54,397,1,791.9197093,3,4
209,2,91,352,2,1010.049666,5,4
209,4,79,362,0,878.337595,4,4
201,5,66,381,0,848.6736403,4,4
201,6,103,339,0,1132.185273,7,6
203,9,52,400,2,810.9694948,3,4
209,3,105,328,3,1118.508822,7,6
205,2,54,397,1,791.9197093,3,4
201,7,50,392,1,832.6236159,3,4
203,10,83,360,12,981.5966017,5,4
230,5,109,327,1,1039.920362,6,5
202,10,37,417,1,705.1258048,2,4
205,4,71,363,0,966.1258254,5,4
206,2,68,375,0,964.9095558,5,4
202,11,122,321,0,1156.676767,7,6
206,3,101,325,2,1059.672208,6,5
205,5,99,349,0,1075.273054,6,5
241,1,89,343,0,975.039765,5,4
241,2,80,375,1,852.2557111,4,4
203,11,82,367,1,985.5157919,5,4
201,8,57,386,1,790.4707013,3,4
204,3,46,389,2,783.2536945,3,4
204,4,122,322,1,1082.703495,6,5
204,6,107,322,0,1043.81838,6,5
204,5,117,348,0,1038.734882,6,5
214,2,124,319,1,1177.810684,7,6
204,7,109,328,1,1179.388561,7,6
204,2,108,342,1,1086.748889,6,5
204,1,100,342,1,1002.400262,5,4
214,1,124,331,3,1086.050214,6,5
241,3,66,390,0,872.3150419,4,4
241,5,112,343,0,1073.889274,6,5
203,12,88,353,0,1045.638185,6,5
242,1,229,212,0,1500.340274,10,7
242,2,213,215,0,1486.267798,10,7
242,3,218,219,0,1511.915359,10,7
204,8,122,314,0,1150.439509,7,6
220,1,150,299,0,1266.684239,8,7
241,3,66,390,0,872.3150419,4,4
217,1,94,342,0,986.5694301,5,4
201,9,72,362,1,940.4817139,5,4
201,10,134,309,0,1142.576871,7,6
201,12,85,352,1,955.4359887,5,4
217,2,97,348,1,1052.829386,6,5
217,4,86,357,0,972.0928451,5,4
212,2,74,367,0,948.0552083,5,4
201,11,139,305,0,1250.942881,8,7
217,3,87,376,0,923.1934917,5,4
212,3,157,296,0,1227.840111,8,7
206,5,155,277,9,1181.518255,7,6
209,11,162,283,1,1261.133246,8,7
202,13,68,385,1,928.4493136,5,4
205,7,102,343,0,1153.963149,7,6
209,5,153,287,0,1336.394143,9,7
202,14,66,383,1,938.5403257,5,4
205,8,185,256,1,1374.76743,9,7
209,6,206,234,2,1461.311351,10,7
206,6,93,364,0,1043.832385,6,5
206,7,120,330,0,1173.885225,7,6
207,7,225,217,0,1360.301631,9,7
207,5,169,265,0,1303.310713,8,7
206,10,137,293,13,1161.601533,7,6
207,4,154,274,1,1225.803219,8,7
209,10,44,411,0,748.5418545,3,4
209,11,162,283,1,1261.133246,8,7
209,12,200,242,1,1415.494134,9,7
209,13,227,216,1,1527.831531,10,7
209,14,99,345,0,996.164583,5,4
206,9,141,307,0,1269.751373,8,7
209,9,166,283,0,1284.873102,8,7
207,3,245,214,0,1610.380624,10,7
206,17,153,287,2,1226.429833,8,7
206,19,150,293,3,1290.658638,8,7
206,18,170,257,8,1380.59228,9,7
206,8,125,326,0,1200.765229,7,6
209,7,142,290,0,1275.35004,8,7
209,8,169,278,0,1367.66655,9,7
207,2,188,266,0,1289.90939,8,7
203,16,131,306,0,1197.212834,7,6
217,7,126,322,0,1260.871974,8,7
208,4,146,291,1,1194.591534,7,6
203,13,119,320,1,1139.841098,7,6
208,5,97,348,1,1047.952078,6,5
203,14,184,250,0,1427.025379,10,7
203,15,179,260,1,1380.687095,9,7
217,5,220,217,0,1572.258771,10,7
208,3,171,273,1,1459.038851,10,7
203,17,217,212,8,1547.300794,10,7
206,11,177,256,6,1320.122284,8,7
218,3,51,381,5,786.9797576,3,4
232,1,258,160,16,1673.256245,10,7
203,18,191,249,6,1374.423965,9,7
230,7,149,291,0,1251.958067,8,7
230,8,158,268,2,1310.97975,8,7
230,9,185,255,0,1404.236696,9,7
230,13,154,289,1,1324.934635,8,7
230,11,214,234,0,1464.638965,10,7
230,10,122,312,2,1249.424527,8,7
230,15,161,273,1,1312.756886,8,7
230,14,202,225,0,1529.458124,10,7
230,18,114,330,2,1069.16392,6,5
230,12,102,335,0,1153.064671,7,6
230,16,262,172,2,1557.811492,10,7
230,17,219,207,3,1523.484543,10,7
229,1,322,123,4,1871.426555,11,7
242,4,302,140,0,1805.702878,10,7
242,5,352,81,4,2026.037851,12,7
242,6,337,90,6,1904.466655,12,7
245,5,234,197,3,1541.109819,10,7
245,8,226,208,2,1573.235742,10,7
245,6,261,182,1,1618.090464,10,7
245,10,300,125,2,1710.596226,10,7
245,12,216,217,6,1527.308383,10,7
245,9,250,188,1,1546.087278,10,7
245,16,237,200,2,1682.969677,10,7
245,14,271,168,2,1730.597084,10,7
245,17,251,185,2,1673.899012,10,7
245,18,261,177,2,1724.237142,10,7
245,19,327,108,2,1898.219941,12,7
245,21,253,179,6,1574.266136,10,7
245,20,255,187,5,1632.691354,10,7
230,19,247,202,0,1563.906289,10,7
230,20,219,220,2,1476.905555,10,7
230,21,241,196,0,1587.313641,10,7
224,5,281,166,0,1715.713615,10,7
224,3,271,165,0,1685.772544,10,7
224,4,222,223,0,1546.016294,10,7
224,2,264,173,0,1643.597223,10,7
224,1,323,116,0,1833.189316,11,7
228,9,135,309,0,1244.719519,8,7
230,35,313,127,0,1796.491418,10,7
230,36,336,102,1,1940.681073,12,7
230,25,348,81,0,1962.528941,12,7
230,27,263,173,1,1643.532892,10,7
230,26,249,200,0,1547.39416,10,7
230,29,306,132,0,1871.484781,11,7
221,1,294,142,0,1771.074316,10,7
228,6,356,91,1,1968.163461,12,7
230,28,189,250,1,1373.93163,9,7
230,30,247,181,0,1647.222028,10,7
228,7,347,109,1,1952.334082,12,7
230,31,261,168,0,1575.875766,10,7
230,33,194,242,0,1245.049404,8,7
230,32,326,104,1,1934.427302,12,7
230,34,281,143,0,1751.060591,10,7
228,8,205,236,1,1446.026973,10,7
228,10,309,139,1,1782.081813,10,7
230,38,374,72,0,2087.652281,12,7
230,37,276,167,0,1663.439866,10,7
228,11,223,212,1,1549.717903,10,7
230,39,251,201,0,1543.585818,10,7
230,40,241,203,2,1605.00642,10,7
228,4,277,169,1,1749.915494,10,7
230,23,233,217,0,1400.886999,9,7
228,2,311,121,3,1829.988584,11,7
228,3,328,121,0,1843.574666,11,7
230,24,319,114,1,1846.546519,11,7
228,5,34,410,0,647.9297182,2,4
242,7,416,24,5,2328.304483,13,9
242,8,424,13,2,2413.371176,14,11
242,9,425,22,0,2332.5548,13,9
230,41,332,98,0,1949.519841,12,7
229,2,390,60,3,2078.952186,12,7
219,3,332,107,0,1945.038885,12,7
219,2,364,84,0,1995.743095,12,7
245,23,355,78,2,1943.73264,12,7
219,4,302,137,0,1796.759301,10,7
245,22,379,48,1,2164.604206,12,8
245,24,390,47,3,2238.706253,13,9
219,1,378,64,0,2080.092227,12,7
210,5,167,270,1,1376.137334,9,7
216,1,248,191,1,1684.390584,10,7
216,2,210,229,1,1440.93622,10,7
210,6,295,150,2,1704.208494,10,7
216,3,156,285,0,1305.927349,8,7
210,7,191,251,0,1424.666186,10,7
216,5,259,179,0,1541.845474,10,7
216,4,198,236,1,1513.88434,10,7
210,8,330,106,1,1887.02738,12,7
210,9,227,220,2,1477.121339,10,7
210,10,89,356,0,976.9328782,5,4
216,6,246,206,0,1608.31179,10,7
216,8,251,182,2,1621.765149,10,7
216,7,270,179,1,1667.196976,10,7
210,11,280,165,1,1715.119788,10,7
210,12,330,115,2,1913.600302,12,7
223,8,243,192,0,1541.09683,10,7
223,10,231,217,1,1460.10985,10,7
223,9,335,118,0,1914.643234,12,7
221,8,374,81,1,2038.850065,12,7
221,7,393,57,0,2104.600801,12,7
221,3,373,75,0,2046.140447,12,7
222,2,367,80,1,2010.963448,12,7
222,1,342,100,1,1859.986455,11,7
221,4,378,78,0,2005.732486,12,7
238,1,407,45,1,2242.953461,13,9
214,3,199,239,0,1434.391122,10,7
214,4,208,226,2,1522.669412,10,7
214,5,148,298,0,1286.449866,8,7
214,6,227,222,0,1585.392173,10,7
220,2,44,398,0,707.220408,2,4
205,9,178,267,2,1366.062211,9,7
214,11,34,400,0,670.8546788,2,4
206,15,250,197,2,1597.304215,10,7
223,3,273,170,0,1687.8278,10,7
